feature,target
-3.292157038,-53.46841187
0.799528375,-1.262559577
-0.936213952,-3.506192641
-4.722679598,-107.2232004
-3.60267397,-49.13195018
4.93183364,8.901223526
-0.850265253,-5.466241757
2.454071625,-5.762631654
2.309656555,-0.600585683
0.768204494,1.222677902
1.567869287,-3.956637442
-2.362820521,-21.98989452
-0.283113175,-6.118122754
1.634974951,-10.46843964
0.668410302,-4.119557195
0.998977018,-3.029419143
-2.482237219,-21.76152272
2.615474791,-1.512952264
1.060796895,-4.754911565
4.562287218,6.507232679
